Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_1618,0.5341480537585072,0.6334115049879169,False,False
scenario_0423,1.0027136462919717,1.6110566377934044,False,False
scenario_1512,0.47967705625577983,0.8578492737296509,False,True
scenario_1913,0.31352274053446,0.3307950888746914,False,False
scenario_1946,0.3360021807980762,0.3178448645645971,False,False
scenario_1072,0.27800290639634884,0.3995323055224722,False,False
scenario_0697,0.3383645021466478,0.5239688260053661,False,False
scenario_0949,0.3610217648234951,0.33239749498093474,False,True
scenario_0126,0.3930402877027332,0.7083242769313396,False,False
scenario_0444,0.38721134762257436,0.3788435979744456,False,False
scenario_1708,0.2189610016270217,0.23258291360625497,False,False
scenario_0590,0.39261783802162,0.6810976438947318,False,False
scenario_1866,0.48946838907481344,0.45562969864904046,False,False
scenario_0382,0.4511575155999697,0.2353977965820034,False,True
scenario_1441,0.250439148499687,0.2741897573715441,False,False
scenario_0669,0.33398260778546357,0.3108377778174101,False,False
scenario_0986,0.34748973428060337,0.3344935810507393,False,False
scenario_1052,0.539577029271716,1.0284820835969168,False,False
scenario_1187,0.5267395389249231,0.7127883076068329,False,False
scenario_0267,0.585888826550921,0.6619336281009217,False,False
scenario_0043,0.537018392518984,0.7040584594699735,False,False
scenario_0588,0.46135669484872893,0.8666192194581266,False,False
scenario_1796,0.2929384550695068,0.37086369206022446,False,True
scenario_1171,0.45881676553407513,0.7655146962143206,False,True
scenario_1579,0.318196989777161,0.44168638249159103,False,True
scenario_1720,0.4831757849316231,0.6464223443889802,False,False
scenario_0796,0.5871209864732903,0.9860767133474564,False,False
scenario_1356,0.8173853541067649,1.119528123805681,False,False
scenario_0404,0.4327306102828108,0.43887584153214987,False,True
scenario_1231,0.29441495586996075,0.3663449645361352,False,False
scenario_0061,0.4865601632400505,0.6189398533812216,False,False
scenario_0980,0.31371337830063095,0.5842662514476881,False,True
scenario_1874,0.734780239472049,1.4003805789422301,False,False
scenario_1309,0.43722944928935537,0.6270984903980618,False,False
scenario_0424,0.6039767876335473,0.9207189840098768,False,True
scenario_1063,0.3136691709871904,0.5082030335377158,False,True
scenario_1282,0.6834845381476934,1.197778312861621,False,False
scenario_0606,0.4558735604299814,0.7404510058240891,False,False
scenario_1805,0.477530715188475,0.8152190562469377,False,False
scenario_1823,0.7731355113213673,1.2183117570700284,False,False
scenario_1220,0.427864531554043,0.5301703452304863,False,True
scenario_0560,0.5827729455736486,1.228121863768416,False,False
scenario_1010,0.2671245815812842,0.522278397831301,False,True
scenario_0222,0.37952256355582303,0.39033291890040134,False,False
scenario_1677,0.47199791100424626,0.41866531904826926,False,False
scenario_1302,0.2710394428536944,0.25382460621752145,False,False
scenario_1518,0.6390867231835925,1.1240540535757189,False,False
scenario_1762,0.33099298762046564,0.4849576658393602,False,False
scenario_0628,0.32942009729294536,0.3353584385511659,False,False
scenario_0636,0.5921553623449292,1.0438560824287526,False,False
scenario_1589,0.34885975966059224,0.5616053453024186,False,False
scenario_1156,0.5324671890368217,0.5400633891029787,False,False
scenario_0105,0.33027419064040797,0.34126011001890966,False,False
scenario_0179,0.48058695820652536,0.6886297510091755,False,False
scenario_0283,0.876906767391258,1.1359262863630506,False,True
scenario_0689,0.3713292536269017,0.39154242719337806,False,True
scenario_1673,0.3509388044826842,0.3721548622981671,False,False
scenario_0242,0.4522452158950156,0.6499841902581316,False,False
scenario_1453,0.5769075383764153,1.0820814927180296,False,False
scenario_0849,0.782521423836609,1.2944345301020015,False,False
scenario_0302,0.3905515357086393,0.4860499237208992,False,True
scenario_0066,0.6066844697956553,0.8559271380226546,False,False
scenario_1193,0.6283189726315974,0.6487632246733667,False,True
scenario_0063,0.2806849632555741,0.3385567113387302,False,True
scenario_1661,0.432787261547681,0.6320392482639122,False,False
scenario_0707,0.5407356322576123,0.8951747666856836,False,False
scenario_0570,0.39602504451548376,0.5577999861255074,False,False
scenario_0829,0.4091703228909068,0.4838817324027151,False,True
scenario_0142,0.2406167115130744,0.2307792683481213,False,False
scenario_0216,0.3642013854310341,0.5028268654377669,False,True
scenario_0007,0.5171524196728318,0.9082722174587385,False,False
scenario_0089,0.3757510323950051,0.3477113061191064,False,False
scenario_0440,0.5727474928755226,1.0273231229313335,False,True
scenario_1198,0.6521720725726117,1.0222880802277465,False,False
scenario_1357,0.5021290047311917,0.6701760367125053,False,False
scenario_1484,0.3918565372241852,0.5571073584289055,False,False
scenario_1448,0.3450303990681031,0.4456920269298279,False,False
scenario_0384,0.2684009856657102,0.3138436060451932,False,True
scenario_1121,0.34086225568269396,0.3388500887220934,False,False
scenario_0264,0.535519569964602,0.9088497969209085,False,False
scenario_1636,0.5928923622322241,0.8318996503337838,False,True
scenario_0670,0.6785265271013144,1.2911734571867517,False,False
scenario_1182,0.3692468248992549,0.6334192796167222,False,True
scenario_1544,0.6654806950097909,1.047397189344816,False,False
scenario_1954,0.219923718765785,0.3292383579966089,False,True
scenario_1223,0.38808013338696534,0.517292461398513,False,True
scenario_0660,0.9296821424486571,2.0474177500219026,False,False
scenario_1200,0.36901375894735855,0.3150066942352459,False,True
scenario_1226,0.5096273738888164,0.6200046890327437,False,False
scenario_0620,0.3414860945404369,0.41945913185377875,False,False
scenario_0672,0.18986682485973366,0.19321685451921083,False,False
scenario_0822,0.6958169528238196,1.1965464554532823,False,False
scenario_1642,0.7242212018873684,1.298863399685487,False,True
scenario_1092,0.3827068088001396,0.5710943139155942,False,True
scenario_1305,0.30508551375193055,0.37633740211141264,False,False
scenario_1402,0.6439235033702019,1.0619448220374808,False,False
scenario_1411,0.514118207276557,0.9383960069308569,False,False
scenario_0548,0.32839471895623107,0.4778047421529914,False,False
scenario_0358,0.6232139282745295,0.8833047289616275,False,False
scenario_1922,0.6938929652364652,1.1596318199004791,False,False
scenario_1538,0.30850109680727,0.40089355556613876,False,True
scenario_0888,0.6613965996299425,0.41809711565591373,False,False
scenario_1850,0.6001493878721375,0.809493821152929,False,False
scenario_1860,0.5996438964918347,0.9710158422694442,False,False
scenario_0095,0.6034365194766519,1.056985665589045,False,False
scenario_1958,0.5792359239283402,0.8136845201835782,False,True
scenario_0217,0.4372953135407569,0.7471268962382331,False,True
scenario_0352,0.49125067022452207,0.5421591231358073,False,False
scenario_0175,0.6234340996510892,0.6407044395442297,False,False
scenario_1682,0.6256234349320109,0.8610258766978128,False,False
scenario_0466,0.4069075152526751,0.2796190866837503,False,True
scenario_1919,0.5875783277457615,0.9138429938598731,False,False
scenario_0228,0.32463890819059127,0.42165103719627645,False,True
scenario_0470,0.6273506328399997,0.9381036559325299,False,True
scenario_1440,0.6073169593552157,0.8862283179299137,False,False
scenario_0650,0.5360740514283814,0.8283491589284933,False,True
scenario_1806,0.4932182917603507,0.7408935258507765,False,True
scenario_1252,0.3081868768749292,0.29860971886980775,False,False
scenario_0092,0.5115975545567418,0.6924465856812108,False,True
scenario_0640,0.39974458098342264,0.553125611485868,False,False
scenario_1875,0.6154768523453717,0.9059148167415799,False,False
scenario_1775,0.3502811989749338,0.4909843215421483,False,True
scenario_1319,1.3147302430837473,2.4598407739230295,False,False
scenario_0714,0.2642228295128959,0.4011635643976953,False,False
scenario_0291,0.3556166991517716,0.5928816339755412,False,False
scenario_1424,0.3923695011462383,0.5352174597378742,False,False
scenario_1928,0.5925664841512078,1.0230915307089208,False,False
scenario_1341,0.45991220723590154,0.5800638750247346,False,False
scenario_1921,0.5300928197866206,0.63995583790146,False,True
scenario_1517,0.7369648207151374,0.8648339988993081,False,False
scenario_1569,0.3942094817500989,0.5080908814407434,False,False
scenario_1278,0.5025238522522296,0.7184870430588692,False,True
scenario_1206,0.3441390354019598,0.47675985135261295,False,False
scenario_1447,0.5161660803367137,0.7218870888222628,False,False
scenario_0920,0.44825731226357485,0.6406803922387221,False,True
scenario_1955,0.5751540572682281,0.8546561570850605,False,False
scenario_0208,0.5112337108459638,0.6759888961628898,False,False
scenario_0186,0.5019877352091598,0.728546108486795,False,False
scenario_0410,0.8145352151981657,1.4258986337572228,False,False
scenario_1890,0.8124542255121215,1.3275180381993228,False,False
scenario_1089,0.441861977614386,0.30340233000712813,True,False
scenario_1811,0.4437240802065003,0.6398524912731829,False,False
scenario_0601,0.4845473418626763,0.3415222968429011,False,False
scenario_0715,0.23791194884101038,0.2113111533170976,False,True
scenario_1565,0.4376003356204496,0.5426440968878523,False,True
scenario_0343,0.6049407102440312,0.8004572327885107,False,False
scenario_1744,0.3994966779447102,0.7035807860674138,False,True
scenario_1216,0.45934592653381134,0.4783512770460555,False,False
scenario_0766,0.5199802394356662,0.7759364866826264,False,True
scenario_1098,0.6133979632383358,0.6904150045107675,False,False
scenario_1473,0.2194767941092075,0.243657280818552,False,True
scenario_1443,1.2814735701153863,1.909153346166479,False,False
