Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_2021,0.25668170936540513,0.32494564475820004,False,False
scenario_2740,0.2386809398771288,0.2562036682199185,False,False
scenario_2435,0.356017250853898,0.5612369264942342,False,False
scenario_2999,0.14461154559549383,0.1887617131829861,False,False
scenario_1876,0.27961598093078677,0.39484140554688363,False,False
scenario_1409,0.30417225148066246,0.4272964829252891,False,False
scenario_2062,0.38188146467595935,0.43947427859804583,False,False
scenario_1987,0.26983949553289965,0.47231569112525534,False,True
scenario_2517,0.3558506952974103,0.5308018156789338,False,False
scenario_1386,0.3501959089012852,0.5399506831133436,False,False
scenario_1401,0.33025910240550393,0.6208156518831818,False,False
scenario_1152,0.24390028168694936,0.3146521839527481,False,True
scenario_0973,0.2524910556308263,0.40841023919717845,False,True
scenario_1385,0.3453869190199618,0.5198801503974084,False,True
scenario_0491,0.2649239951702733,0.3492224688253446,False,False
scenario_2024,0.2668065428419804,0.2515057605386919,False,True
scenario_1035,0.28776831874328523,0.3075137521712213,False,False
scenario_1294,0.23091450746158526,0.2824483638940953,False,True
scenario_0162,0.36239048128763923,0.6923539698541035,False,False
scenario_0927,0.32329009191951635,0.5213561369634836,False,False
scenario_1668,0.3861146246602512,0.470989168008732,False,False
scenario_0893,0.2999811113657322,0.30970725133662813,False,False
scenario_0011,0.26202439184514853,0.4257980828165246,False,False
scenario_2507,0.28310484209091813,0.275587566575332,False,False
scenario_1332,0.2509203682828183,0.2532388952428664,False,False
scenario_0111,0.37647293333970683,0.5031827906114394,False,True
scenario_0044,0.2905144693216378,0.5675552209530359,False,False
scenario_1196,0.24721435586749455,0.41702652916245125,False,False
scenario_0150,0.23510942986405348,0.4098163385107042,False,True
scenario_0599,0.28753610619124975,0.43122014772997574,False,True
scenario_0573,0.3566541141893094,0.42454623721563534,False,False
scenario_0694,0.2386337063816572,0.312408537101088,False,True
scenario_2366,0.23484206261405696,0.18894507556683235,True,True
scenario_0961,0.308538956485884,0.3682999894113965,False,False
scenario_2180,0.28956178926791254,0.6974441127958704,False,True
scenario_0118,0.3501850584387142,0.5272528911609015,False,False
scenario_2579,0.29303645774955717,0.48389172714818307,False,False
scenario_2324,0.3055814070288811,0.49397174995568127,False,False
scenario_2541,0.22897311712572022,0.2668854022622402,False,True
scenario_2617,0.3042771547342556,0.3537691930751565,False,False
scenario_1754,0.22133005681141749,0.17930094021487267,False,True
scenario_0521,0.2669833389284701,0.21355597347845676,True,False
scenario_2522,0.3960921797439519,0.9079714298109683,False,False
scenario_1437,0.2310925436447592,0.22512695682755277,True,True
scenario_2741,0.25125494155168354,0.3943605634326044,False,False
scenario_1501,0.19682373073417037,0.26896921652124,False,True
scenario_2446,0.2875143427852035,0.3106659995069759,False,False
scenario_1311,0.35009665236602205,0.44966939637569414,False,False
scenario_2234,0.22348885387022366,0.22453702448136162,False,True
scenario_0943,0.3652871439531173,0.6633169509135549,False,False
scenario_0392,0.240427962042827,0.24767547464297454,False,False
scenario_0270,0.4069521859667678,0.4999336305589702,False,False
scenario_2800,0.2851421385427428,0.3131106749048866,False,False
scenario_2749,0.2515388617398656,0.24796674561078705,False,False
scenario_2246,0.30958093747254883,0.3894290738251689,False,False
scenario_0207,0.35282489137521994,0.31588369224434926,False,False
scenario_2286,0.2518673148447657,0.27845778603845406,False,True
scenario_0878,0.28422217830843627,0.608224880778308,False,True
scenario_2412,0.2502894349519779,0.35308472468991103,False,True
scenario_2455,0.17577408073515752,0.21154630021196397,False,True
scenario_2801,0.28555041964044403,0.32565993489504996,False,False
scenario_0934,0.2952786428448331,0.4506179199390702,False,True
scenario_2363,0.1931321981717092,0.2255008917948787,False,True
scenario_1713,0.2777165392603524,0.5839287393276663,False,True
scenario_2660,0.2235309175532139,0.30850836356053324,False,False
scenario_1629,0.4225840884802472,0.5789860291675626,False,False
scenario_1721,0.3081811204174872,0.39504509096802853,False,True
scenario_0552,0.2903941155757299,0.33127913778312473,False,True
scenario_1524,0.3008954394198265,0.3286756915557348,False,True
scenario_2035,0.24362690899653353,0.29483204554136666,False,False
scenario_2257,0.29594096498174743,0.6092131482215496,False,False
scenario_0490,0.33600735198656273,0.6318931727134209,False,True
