Scenario,% Diff,Weighted % Diff,Incidence Check,Cause Check
scenario_1363,0.5567495776022267,0.4947686448092497,False,False
scenario_1737,0.25731092800504585,0.25905288924538195,False,True
scenario_0155,0.3396171472273519,0.4263286407962429,False,False
scenario_1139,0.41608034828686696,0.429584758182298,False,False
scenario_1322,0.34810727476038594,0.29652289376080915,True,False
scenario_0083,0.21656956450388384,0.25232450441715476,False,False
scenario_0743,0.288872556367877,0.23339007152242797,False,True
scenario_1654,0.4408764122055835,0.458900554369118,False,False
scenario_0853,0.7355762990347279,0.7038998746367855,False,False
scenario_1328,0.3815306049530418,0.4308222291723901,False,False
scenario_1609,0.5242099502044417,0.46895421434376616,False,False
scenario_1703,0.3460588364461683,0.4125462918380529,False,False
scenario_1758,0.2746571149868873,0.27046247150916297,False,True
scenario_1204,0.47920590943701047,0.5437520581240491,False,False
scenario_1105,0.37183150130006704,0.37898483475581973,False,True
scenario_0116,0.41506622328646986,0.3456191586095885,False,False
scenario_1856,0.3235781524260258,0.31119760463755747,False,True
scenario_1051,0.44957338817782005,0.4708461582796223,False,False
scenario_0858,0.3447768054124175,0.2764221242627463,False,True
scenario_1450,0.684126817963868,0.721196412579575,False,False
scenario_0525,0.4654043543023541,0.49937207175867526,False,False
scenario_0229,0.32472020487052455,0.2684482925236359,False,True
scenario_0963,0.6100529802539112,0.5743633480967302,False,False
scenario_0975,0.3948083174316613,0.4774099325814065,False,False
scenario_0524,0.4213573257834103,0.34023643780513463,False,True
scenario_0093,0.4091335723363047,0.3755569817796637,False,True
scenario_1160,0.28779859895979404,0.3070635623757455,True,False
scenario_1438,0.5057725690250391,0.5141354332580337,False,False
scenario_1367,0.3883880751076095,0.42364673821758153,False,False
scenario_0451,0.4514444656160805,0.44244283185553995,False,False
scenario_0350,0.41903250975285894,0.4103927115963825,False,False
scenario_1900,0.35902353746199567,0.4269036784058786,False,False
scenario_0055,0.3818722305532821,0.42725797401713905,False,False
scenario_0177,0.4708641762283372,0.519187925586701,False,False
scenario_1915,0.3725774860545958,0.3592813253879749,False,False
